station	date	windsnelheidgem	windsnelheidhoog	windsnelheidlaag
240	20160920	14	20	0
240	20160921	28	50	10
240	20160922	24	40	10
240	20160923	37	70	10
240	20160924	41	60	30
240	20160925	53	80	30
240	20160926	16	30	10
240	20160927	37	60	10
240	20160928	72	90	50
240	20160929	69	100	30
240	20160930	45	90	20
240	20161001	43	60	20
240	20161002	55	90	30
240	20161003	36	50	20
240	20161004	54	70	40
240	20161005	65	80	50
240	20161006	51	70	20
240	20161007	48	60	30
240	20161008	30	50	10
240	20161009	16	50	10
240	20161010	19	40	0
240	20161011	26	60	10
240	20161012	57	80	40
240	20161013	67	80	50
240	20161014	53	70	40
240	20161015	42	60	30
240	20161016	43	70	20
240	20161017	36	50	10
240	20161018	54	80	30
240	20161019	52	100	20
240	20161020	38	60	20
240	20161021	21	50	0
240	20161022	21	40	10
240	20161023	18	40	10
240	20161024	37	60	10
240	20161025	18	30	10
240	20161026	34	50	0
240	20161027	49	70	30
240	20161028	50	70	10
240	20161029	13	40	0
240	20161030	11	20	10
240	20161031	12	20	10
240	20161101	23	50	10
240	20161102	36	80	10
240	20161103	33	60	10
240	20161104	57	80	40
240	20161105	43	60	30
240	20161106	38	80	20
240	20161107	38	60	20
240	20161108	22	40	10
240	20161109	35	50	10
240	20161110	33	50	20
240	20161111	32	50	0
240	20161112	48	60	10
240	20161113	30	50	10
240	20161114	44	70	10
240	20161115	47	70	20
240	20161116	63	90	30
240	20161117	70	120	30
240	20161118	74	100	50
240	20161119	64	80	50
240	20161120	99	190	30
240	20161121	61	90	30
240	20161122	66	100	30
240	20161123	33	60	10
240	20161124	77	90	60
240	20161125	65	80	30
240	20161126	18	40	0
240	20161127	29	50	0
240	20161128	35	60	10
240	20161129	14	30	0
240	20161130	41	70	20
240	20161201	51	60	40
240	20161202	29	60	10
240	20161203	10	20	0
240	20161204	30	50	20
240	20161205	17	30	0
240	20161206	21	40	10
240	20161207	51	70	40
240	20161208	58	80	50
240	20161209	50	70	30
240	20161210	48	90	30
240	20161211	67	100	30
240	20161212	28	60	10
240	20161213	35	50	20
240	20161214	25	30	20
240	20161215	44	60	30
240	20161216	30	40	10
240	20161217	27	40	20
240	20161218	25	50	0
240	20161219	28	40	10
240	20161220	28	50	20
240	20161221	62	90	30
240	20161222	50	70	40
240	20161223	73	110	40
240	20161224	90	120	60
240	20161225	98	120	70
240	20161226	99	120	60
240	20161227	49	90	20
240	20161228	21	40	10
240	20161229	29	40	20
240	20161230	33	40	20
240	20161231	54	60	40
240	20170101	53	70	10
